item_no,property_no,acquisition_date,measurement_unit,quantity,particulars, unit_cost ,remarks,end_user,status
1,"2017-521,2017-522",2017-10-27,30,2,"Hand Truck, Heavy duty hand truck, load capacity 220kgs","2,680.00",from: B. Andaya,466,Active
2,2019-474,2019-05-28,30,1,"MOP Bucket, heavy duty, hard","2,000.00",,466,Active
3,"2020-1184,2020-1185",2020-03-10,30,2,Spineboard,"8,400.00",from: B. Andaya,466,Active
1,2021-059,2021-01-14,17,1,"Webcam, A4Tech, 1080p","1,493.00",,144,Active
2,2021-035,2021-01-14,17,1,"Puncher, heavy duty, w/ 2 holes guide","1,493.00",,144,Active
3,2021-584,2021-03-23,17,1,Mobile Pedestal Cabinet,"1,493.00",,144,Active
4,2021-590,2021-04-15,30,1,Tablet (Samsung TABA),"1,493.00",,144,Active
5,2021-1017,2021-07-30,30,1,USB Head23 with microphone and noise cancellation,"1,493.00",,144,Active
6,21-08-84,2021-08-19,30,1,CPU Assembled,"1,493.00",,144,Active
7,2022-076,2022-01-06,17,1,"External Hard Drive 1TB, Toshiba","1,493.00",,144,Active
8,2020-1104(1),2020-03-09,30,1,"Printer, BROTHER MFC-T810W","14,395.00",from: M. Olarte,144,Active
9,SPLV-2025-02-098,2025-02-25,17,1,"Laser Distance Meter, INGCO","4,925.00",,144,Active
10,"SPLV-2025-02-101, SPLV-2025-02-102",2025-02-25,17,2,"Scientific Calculator, Casio",982,,144,Active
1,0338-13,2013-06-06,30,1,"Camera, Digital, Samsung","7,990.00",,154,Active
2,2019-170,2019-08-06,17,1,"Storage Box, Plastic, size: 50L",510,from: E. Baclig,154,Active
3,"2020-1512,2020-1513",2020-09-16,17,1,"Hard Drive 1TB, Transcend","3,500.00",,154,Active
4,"2020-1679,2020-1680",2020-10-14,17,2,"HDMI Cable, 10M",750,,154,Active
5,2021-060,2021-01-14,17,1,"Webcam, A4Tech, 1080p","1,493.00",,154,Active
6,2021-181,2021-01-27,17,1,"Steel Cabinet, 2 drawers, vertical, 465 wide x 620 deep x 700 highm gray","6,120.00",,154,Active
7,2021-1021,2021-07-30,30,1,USB Head23 with microphone and noise cancellation,"1,900.00",,154,Active
8,2021-1737(1),2021-11-04,17,1,"USB Wired Optical Mouse, Logitech M100R",465,,154,Active
9,2021-1896,2021-12-10,30,1,"Printer, HP 615","14,500.00",,154,Active
10,2021-1857,2021-12-02,17,1,VGA to HDMI Adapter,550,,154,Active
11,2021-1863,2021-12-02,17,1,Digital Voice Recorder,"4,395.00",,154,Active
12,2022-075,2022-01-06,17,1,HDMI Cable for laptop to projector,195,,154,Active
13,2022-008,2022-01-07,17,1,7-Port USB 3.0 Hub,795,,154,Active
14,2018-818,2018-12-21,30,1,Safety Deposit Box,800,from: T. Abenes,154,Active
15,"2019-182,2019-183,2019-184",2019-02-01,17,3,"Storage Box, Plastic: size, 50L",510,from: T. Abenes,154,Active
16,2019-178,2019-02-01,17,1,"Storage Box, Plastic: size, 50L",510,,154,Active
17,2019-985,2019-12-11,30,1,"OFFICE TABLE, 120cm x 60cm x 75 with 4 drawers","4,490.00",From: V. Salacyao,154,Active
18,2021-1797,2021-11-17,17,1,"Wireless Presenter, Logitech","1,800.00",,154,Active
19,22-08-062,2021-11-26,30,1,"Laptop, Acer Nitro An515-57-53SB- i5","64,950.00",,154,Active
20,2023-215,2023-05-15,17,1,"Office Table, 4 drawers, light brown","5,700.00",,154,Active
21,2019-092,2019-01-09,30,1,"SCANNER, Brother DS-720 D, Portable","11,650.00",from: N. Cara,154,Active
22,SPHV-2024-03-422,2024-03-13,30,1,"Monitor, AOC 27""","6,850.00",,154,Active
23,SPLV-2024-03-474,2024-03-22,30,1,"UPS, AWP 1500VA.900W","4,750.00",,154,Active
1,2019-1012,2020-01-15,17,1,"MOnitor, LED-Backlit monitor, size 22"" Full HD; HDMI; VGA input connction (ACER)","6,700.00",from: A. Lamsen ,169,Active
2,2020-1031,2020-02-12,30,1,"Extension Cord, 1-2 meters cord, 5 gang with switch",650,from: A. Lamsen ,169,Active
3,2021-832,NULL,17,1,"Cork Board 24"" x 36""",795,from: A. Lamsen ,169,Active
4,21-08-59,2021-08-03,30,1,CPU Assembled,"44,603.00",from: A. Lamsen ,169,Active
5,2021-1109,2021-08-03,17,1,"Keyboard, Logitech",700,from: A. Lamsen ,169,Active
6,2021-1410,2021-08-03,17,1,"Mouse, Logitech",400,from: A. Lamsen ,169,Active
7,2021-1631,2021-10-19,30,1,Microwave Oven,"2,690.00",from: A. Lamsen ,169,Active
8,2021-1587,2021-10-06,17,1,"Monitor, Viewplus 23.8""","5,692.20",from: A. Lamsen ,169,Active
9,21-12-213,2021-12-14,30,1,"Laptop Computer, Acer Nitro 5","60,750.00",from: A. Lamsen ,169,Active
10,2021-1618,2021-10-06,17,1,"Monitor, AOC 21.5""","6,678.00",,169,Active
11,22-04-013,2022-04-06,30,1,Assembled CPU,"44,603.00",,169,Active
12,2021-1381,2021-08-26,17,1,"Keyboard, Logitech",700,,169,Active
13,2021-1090,2021-08-03,17,1,"UPS, EATON 5L 1200 USB, 1200VA/600W,230V","6,800.00",,169,Active
14,2021-975,2021-07-16,30,1,Brother DCP 720 DW,"14,500.00",from: A. Lamsen ,169,Active
15,2022-266,2022-04-11,17,1,"Stapler, Standard",180,,169,Active
16,2022-611,2022-10-20,17,1,"Mobile Pedestal Steel Cabinet, 3 drawers, office steel cabinet","4,200.00",,169,Active
17,2023-033,2023-01-13,17,1,Puncher,120,,169,Active
18,2023-034,2023-01-13,17,1,"Tape Dispenser, heavy duty",110,,169,Active
19,2023-188,2023-04-26,30,1,"Paper Shredder, Vistron","12,500.00",,169,Active
20,2017-511,2017-11-20,30,1,"Portable Scanner, Brother DS-720D","11,900.00",from: E.Calinao,169,Active
21, 2019-382,2019-04-26,17,1,"Pencil sharpener, manual, single cutterhead",365,from: E.Calinao,169,Active
22,2019-1046,1905-07-11,30,1,"Swivel Chair, without armrest, 6 metal feet and wheels, GD C 605G","4,960.00",from: E.Calinao,169,Active
23,"2021-154,2021-155",2021-01-22,17,2,"4K Webcam with HDR abd Windows Hello support, 4K Ultra HD video calling, Logitech C930e","9,580.00",from: E.Calinao,169,Active
24,2021-1939,2021-12-17,17,1,Extension Cord,689,from: E.Calinao,169,Active
25,2018-01-007,1905-07-10,30,1,"Projector, Epson","47,300.00",from: E.Calinao,169,Active
26,2021-1617,2021-10-06,17,1,"Monitor, AOC 21.5""","6,678.00",from: E.Calinao,169,Active
28,2021-1382,2021-08-26,17,1,"Keyboard, Logitech",700,from: E.Calinao,169,Active
29,2021-1089,2021-08-03,17,1,"UPS, EATON 5L 1200 USB, 1200VA/600W,230V","6,800.00",from: E.Calinao,169,Active
30,"2022-264,2022-265",2022-04-11,17,2,"Stapler, Standard",180,from: E.Calinao,169,Active
31,2022-311,2022-01-20,30,1,"Printer, HP Laser 107W","8,176.00",from: E.Calinao,169,Active
32,2019-12-091,2020-01-13,30,1,"Keyboard, Acer",,from: E.Calinao,169,Active
33,2019-12-091A(1),2020-01-13,30,1,"Monitor, Acer",,from: E.Calinao,169,Active
34,"2022-420,2022-421(2)",2022-06-14,17,2,"Office Table, with center drawer & 3 side drawers with lock, narra plywood, strong & durable, natural color, L100 x W50cm x H75cm","4,500.00",from: E.Calinao,169,Active
35,15-84,2015-08-03,30,1,"Executive Swivel Chair, high back end, black with arm rest, adjustable","3,699.40",from: E.Calinao,169,Active
36,2021-168,2021-01-22,17,1,"4K Webcam with HDR and Windows Hello support, 4K Ultra HD video calling, Logitech C930e","9,580.00",from: E.Calinao,169,Active
37,2022-615,2022-10-25,17,1,"Whiteboard, 4 x 5 feet","6,000.00",from: E.Calinao,169,Active
38,2022-643,2022-09-08,30,1,CPU Assembled,"32,327.00",from: E.Calinao,169,Active
39,2022-339,2022-05-30,30,1,"Keyboard and Mouse, Logitech",600,from: E.Calinao,169,Active
40,2022-654,2022-11-04,30,1,"Laptop, Lenovo Ideapad Slim, 15.6""","48,383.00",from: E.Calinao,169,Active
41,"2022-459,2022-460,2022-461,2022-462,2022-463",2022-07-20,17,5,"Video Web Cam, Ovation","1,050.00",from: E.Calinao,169,Active
42,22-04-012,2022-04-07,30,1,Assembled CPU,"44,603.00",from: E.Calinao,169,Active
43,2023-498,2023-08-25,30,1,"Computer Processing Unit, Intel Core i7","39,200.00",,169,Active
44,2023-499,2023-08-25,30,1,"Monitor, AOC 27""","7,050.00",,169,Active
45,2023-500,2023-08-25,30,1,"UPS, Secure 2000VA","5,300.00",,169,Active
46,2023-501,2023-08-25,17,1,"Keyboard, Logitech",350,,169,Active
47,2023-502,2023-08-25,17,1,"Mouse, A4Tech",250,,169,Active
48,2023-691,2023-11-17,30,1,"CPU, Intel i7-12700, Darkfash DK351, Gigabyte GP-0D850 GM, Kingston KF432C14BB, Gigabyte GA-B760M","38,400.00",,169,Active
49,2023-692,2023-11-17,30,1,"Monitor, AOC 24""","5,850.00",,169,Active
50,"2023-693,2023-694,2023-695,2023-696",2023-11-17,30,4,"UPS, Eaton 5A 1200VA/650Watts","6,000.00",,169,Active
51,2023-697,2023-11-17,30,1,"Keyboard, Logitech K120",400,,169,Active
52,2023-698,2023-11-17,30,1,"Mouse, Logitech B100",200,,169,Active
53,2024-050,2023-12-29,30,1,"Portable Tablet, Samsung S9 fe+, 12.4 inches, w/ book cover, keyboard and adapter","42,615.00",,169,Active
54,2023-857,2023-12-06,30,1,"Printer, Epson L5290","14,200.00",from: C. Mamaradlo,169,Active
55,"SPLV-2024-03-347,SPLV-2024-03-348",2024-03-05,30,2,"Puncher, heavy duty, 2-hole guide",150,,169,Active
56,SPLV-2024-03-444,2024-03-13,30,1,"Keyboard and Mouse, Logitech",700,,169,Active
57,"SPLV-2024-07-676,SPLV-2024-07-677,SPLV-2024-07-678",2024-06-27,30,3,"Stapler, standard type, Joy",201.4,,169,Active
58,SPLV-2024-08-740,2024-07-19,30,1,"Head23, Redragon H848 IRE Pro Ultra Light Wireless ","1,900.00",,169,Active
59,SPHV-2024-10-883,2024-09-24,30,1,"Air-conditioning Unit, AUX","43,000.00",,169,Active
60,2019-364,1905-07-11,30,1,"Swivel Chair, Executive, 6 metal feet and duty adjustable","4,950.00",from: E.Calinao,169,Active
61,2020-1101(1),2020-02-20,17,1,"Wooden Table, Height:0.7 meter, L-1 meter, W-0.8 meter, Thickness of wood-1 & 1/2""","6,300.00",from: V. Delposo,169,Active
62,2023-200 ,2023-05-03,30,1,"Office Table , glass top with side drawer","7,999.00",from: J. Tamondong,169,Active
63,2022-282,2022-04-26,30,1,"Office Table, 6 drawers","6,490.00",from: J. Tamondong,169,Active
64,SPHV-2024-12-1163,2024-12-20,30,1,"Smart Phone, Samnsung A16","10,500.00",,169,Active
65,SPLV-2025-01-034,2025-01-13,30,1,"Extension Wheel, Omni 15meters","1,800.00",,169,Active
1,2020-1933,2020-12-09,30,1,"Webcam Brio Ultra HD Pro Webcam with Light-weight Tripod, Logitech","14,300.00",,364,Active
2,"2020-1961,2020-1962,2020-1963",2020-12-15,30,3,"Head23 with Microphones. Plantronics Voyager Focus UC, Bluetooth, USB ","14,285.00",,364,Active
3,"2021-257,2021-259,2021-260",2021-02-15,17,3,"Computer Chair, leather back executive office chair, adjustable height, with arm rest, swivel function, w/ 5-6 stand foot","3,600.00",,364,Active
4,2021-1471,2021-09-17,30,1,"Active Noise Cancelling Stereo Bluetooth Head23, JBL T660 BT NC","5,700.00",,364,Active
5,2021-1592 ,2021-10-06,17,1,"Monitor, Viewplus 23.8""","5,692.20",,364,Active
6,2021-1802,2021-11-18,17,1,"USB Speakerphone, Jabra 519","8,250.00",,364,Active
7,2021-1850,2021-11-29,30,1,Webcam Ultra HP PRO,"13,500.00",,364,Active
8,2021-1111(2),2021-08-03,17,1,"Keyboard, Logitech",700,,364,Active
9,2021-1331,2021-08-03,17,1,"Mouse, Logitech",400,,364,Active
10,21-08-71,2021-08-03,30,1,CPU Assembled,"44,603.00",,364,Active
11,1256-2K,1995-06-19,17,1,Filing Cabinet w/ cover (wooden),"6,500.00",from: A. Gawidan,364,Active
12,2021-1711,2021-10-21,30,1,Bluetooth Receiver,500,,364,Active
13,2024-168,2024-01-12,30,1,"Portable Tablet, Samsung S9 fe+, 12.4 inches, w/ book cover, keyboard and adapter","43,900.00",,364,Active
14,2024-225,2024-01-24,17,1,"Swivel Chair, High Back, Leatherette, Black, Chrome Base Jersey JS-289","4,485.00",from: G. Dacanay,364,Active
1,"ICS 15-208,ICS 15-209,ICS 15-210,ICS 15-211,ICS 15-212,ICS 15-213",2015-08-17,17,6,"Stool, heavy duty, padded stool, 8"" H",519,fr. M. Ab-abo,173,Active
2,PAR 15-90,2015-08-17,17,1,"Pedestal Ladder, heavy duty, alum. 5 ft","2,195.00",fr. M. Ab-abo,173,Active
3,"2019-704,2019-705",2019-09-27,30,2,"Industrial Fan, Heavy duty","14,886.00",,173,Active
4,"2019-534,2019-535,2019-536,2019-537,2019-538,2019-539,2019-540,2019-541,2019-542,2019-543,2019-544,2019-545,2019-546,2019-547,2019-548,2019-549,2019-550,2019-551,2019-552,2019-553,2019-554,2019-555,2019-556,2019-557,2019-558,2019-559,2019-560,2019-561,2019-562,2019-563,2019-564,2019-565,2019-566,2019-567,2019-568,2019-569,2019-570,2019-571,2019-572,2019-573,2019-574,2019-575,2019-576,2019-577,2019-578,2019-579,2019-580,2019-581,2019-582,2019-583,2019-584,2019-585,2019-586,2019-587,2019-588,2019-589,2019-590,2019-591,2019-592,2019-593,2019-594,2019-595,2019-596,2019-597,2019-598,2019-599,2019-600,2019-601,2019-602,2019-603,2019-604,2019-605,2019-606,2019-607,2019-608,2019-609,2019-610,2019-611,2019-612,2019-613,2019-614,2019-615,2019-616,2019-617,2019-618,2019-619,2019-620,2019-621,2019-622,2019-623,2019-624,2019-625,2019-626,2019-627,2019-628,2019-629,2019-630,2019-631,2019-632,2019-633",2019-07-31,17,100,Industrial Palettes,"2,000.00",,173,Active
5,2019-861,2019-11-22,30,1,"Printer, 3-in-1 Brother T710W","13,995.00",,173,Active
6,2020-1083,2020-02-10,17,1,"Manual Hand Pallet Truck, Hand pallet jacklift, 2,500 kg capacity","14,500.00",at Loakan WH,173,Active
7,2020-1160,2020-02-05,30,1,"Filling Cabinet, 3 drawer steel cabinet","6,890.00",,173,Active
8,"2020-16,2020-17",2020-01-16,17,2,"Cork Pin Board, size 2'x3'",644,,173,Active
9,2020-1504,2020-09-10,30,1,Ladder 5ft Aluminum,"1,899.75",at COAs Office,173,Active
10,"2021-505,2021-506",2021-05-28,30,2,Manual Hand Trolley,"4,150.00",2021-505 at Marcos WH,173,Active
11,2019-073,2019-01-18,17,1,3-in-1 Hybrid Convertible Handtruck,"11,400.00",,173,Active
12,2021-853,2021-07-19,30,1,HP Multi-Function Laserjet Printer,"11,180.00",,173,Active
13,"2021-1648, 2021-1649",2021-10-25,17,2,"Floor Mop, heavy duty with squeezer","1,199.75",at Loakan WH,173,Active
14,068-12,2012-04-15,30,1,"Steel Cabinet, 3 layers, Hermaco","8,100.00",from: C. Kimmakim,173,Active
15,2020-1705,2020-10-19,17,1,"Office Table, 4 drawers, wood fabricated, with lock and key","4,500.00",,173,Active
16,"2021-1877,2021-1878",1905-07-13,17,2,Puncher,454.32,,173,Active
17,504-10,2010-11-24,30,1,"Steel Cabinet, 3 drawers","7,000.00",from: A. Dizon,173,Active
18,"2022-676,2022-677",2022-11-18,30,2,"Emergency Light, Omni","1,350.00",,173,Active
19,"728-14E,730-14E,729-14E",2014-01-01,30,3,"Filing Steel cabinet, 3 drawers","8,888.00",,173,Active
20,2023-282,2023-06-09,17,1,"Stapler, standard type, Joy Brand",148.4,,173,Active
21,"2023-485,2023-486",2023-08-17,30,2,"Client Chair, heavy duty, fabric material, armrest, high and fixed back , Balck","3,500.00",,173,Active
22,"2023-461,2023-462",2023-08-09,30,2,"UPS, AWP 1500VA","5,070.00",,173,Active
23,"2023-474,2023-475",2023-08-15,30,2,"Computer Central Processing Unit, Intel Core i7 12700, B660 Motherboard, Kingston 16GB DDR4, 512GB SSD M2, Seagate 1TB, Antec casing, Antec 850W Gold","41,300.00",,173,Active
24,2023-700,2023-11-22,30,1,"8-Port Gigabit Desktop Switch, TP Link","1,050.00",,173,Active
25,2023-810,2023-12-06,30,1,"Tape Dispenser, Black, DLOffice",150,,173,Active
26,2022-584,2022-09-30,17,1,"Mouse, A4Tech",150,,173,Active
27,SPLV-2024-07-694,2024-07-17,30,1,"Calculator, Exact ET-826",260,,173,Active
28,20-01,2001-02-28,30,1,Pedestal Cabinet,"13,619.00",from: F. Carlos,173,Active
29,SPHV-2024-03-450,2024-03-13,30,1,"Printer, Brother T720DW","14,300.00",,173,Active
1,2020-1552,2020-09-17,30,1,"Uninterruptible Power Supply, 550watts/1100VA, with two battery back ups, with universal & IEC sockets, with surge protector, heavy duty","7,000.00",,153,Active
2,21-09-165,2021-09-14,30,1,Synology 4 Bay Nas Disk Station DS918+ (Diskless),"32,330.00",,153,Active
3,2021-1144,2021-08-03,30,1,"External Hard Disk Drive, 4TB","7,500.00",,153,Active
4,2023-123,2023-03-28,17,1,"Water Dispenser, Table Top, Hot and Cold, American Home","3,000.00",,153,Active
5,"2023-104,2023-105,2023-106,2023-107",2023-03-28,17,4,"Storage Box with wheels and lid, Megabox 50L",595,,153,Active
6,"2023-108,2023-109",2023-03-28,17,2,"Storage Box with wheels and lid, Megabox 70L",995,,153,Active
7,2023-166,2023-04-20,17,1,"Swivel Chair, DOMINO C-606-HB highback executive chair, leatherette back and seat, nylon starbase/ armrest black","4,000.00",,153,Active
8,2022-598,2022-01-31,30,1,"Printer, Brother MFC T920DW","14,150.00",from: K. Lonogan,153,Active
9,2023-006,2022-12-23,17,1,"Hub, USB Orico 4 Ports",495,from: K. Lonogan,153,Active
10,2023-007,2022-12-23,17,1,"Adapter, HDMI Video Capture",945,from: K. Lonogan,153,Active
11,2023-008,2022-12-23,17,1,Condenser Microphone,"6,000.00",from: K. Lonogan,153,Active
12,"2021-1529,2023-1531,2023-1530",2021-03-10,17,3,"Webcam, Logitech","7,990.00",from: K. Lonogan,153,Active
13,"2023-054,2023-055",2023-01-11,17,2,Wireless Lavalier Microphone System with Mini Lapel Bodypack Transmitter Receiver,"1,200.00",from: K. Lonogan,153,Active
14,2023-056,2023-01-16,17,1,"Handheld Gimbal, Moza Aircross 3 Axis","29,500.00",from: K. Lonogan,153,Active
15,2023-057,2023-01-16,17,1,"Metal Adjustable Teleprompter, Desview T12, foldable","15,000.00",from: K. Lonogan,153,Active
16,2023-005,2022-12-23,17,1,"HDMI Adapter Splitter, 5 to 1 Switch",825,from: K. Lonogan,153,Active
17,"2022-570,2022-572",2022-09-30,17,3,"Mouse, A4Tech",150,,153,Active
18,"2023-260,2023-261,2023-262,2023-263,2023-264,2023-265",2023-04-17,17,6,"Office Table with glass top, 3 drawers","4,900.00",,153,Active
19,"2023-266,2023-267,2023-268",2023-04-17,17,3,"Swivel Chair, executive faux leather, high back, with arm rest, 6 metal feet and wheels, heavy duty, Black","5,300.00",,153,Active
20,2023-225,2023-05-17,17,1,"Tape Dispenser, Joy Brand",95,,153,Active
21,"2023-243,2023-244",2023-05-16,17,2,"Extension Cord, 5 meters, 4 gang, Deli Brand",995,,153,Active
22,"2023-233,2023-234",2023-05-16,17,2,"Stapler, Standard Type, Joy Brand",120,,153,Active
23,2023-288,2023-06-06,17,1,"Corkboard, 3 x 4","2,850.00",,153,Active
24,2023-290,2023-06-14,17,1,"Calculator, TM-12",200,,153,Active
25,"2023-321,2023-322,2023-323,2023-324",2023-07-10,17,4,"Externsion Wheel, Omni, 15M","2,050.00",,153,Active
26,2022-624,2022-10-26,17,1,"Speakerphone, Jabra Speak 510 +","10,000.00",,153,Active
27,2023-320,2023-07-10,17,1,"Boom Microphone, Logitech","5,600.00",,153,Active
28,2023-026,2023-01-12,17,1,"Camera Tripod, Benro T890 Photo and Video Hybrid Tripod with Fluid Head","2,850.00",from: D. Babon,153,Active
29,2023-386,2023-07-14,30,1,"Network Attached Storage, 10TB, Synology DS220J","24,980.00",,153,Active
30,"2023-403,2023-404",2023-07-25,17,2,Table Tennis Net,420,,153,Active
31,"2023-405,2023-406",2023-07-25,23,2,"Chess and Drama Board, 2 in 1",695,,153,Active
32,"2023-407,2023-408",2023-07-25,17,2,Mini Portable Hand Air Pump with gauge,600,,153,Active
33,"2023-401,2023-402",2023-07-21,23,2,Word Factory Board,450,,153,Active
34,"2023-397,2023-398 ",2023-07-25,23,2,"Table Tennis Racket, RRJ","1,500.00",,153,Active
35,"2023-399,2023-400",2023-07-25,23,2,"Badminton Racket, YONEX","1,600.00",,153,Active
36,2023-411,2023-08-02,30,1,Globe at Home Prepaid Wi-Fi Modem with Antennas,"2,950.00",,153,Active
37,2023-384,2023-07-17,30,1,"Printer, Brother DCP-T720DW","14,400.00",,153,Active
38,2023-506,2023-09-04,17,1,"Voice Recoder, Sony","8,300.00",,153,Active
39,2023-420,2023-08-01,17,1,"Mirrorless Digital Camera (Body Only), Sony A6400","49,950.00",,153,Active
40,2023-421,2023-08-01,17,1,E-Mount Lens for Sony (55-210mm),"15,000.00",,153,Active
41,2023-422,2023-08-01,17,1,"External Flas for mirrorless camera with flash trigger, YONGNU Speedlight YN685EX-RF","11,130.00",,153,Active
42,2023-423,2023-08-01,17,1,Reflector (collapsible) 110cm,954,,153,Active
43,2023-424,2023-08-01,17,1,"Document Scanner, Epson DS-360W","15,000.00",,153,Active
44,2023-425,2023-08-01,17,1,"Camera Drone with Accessories, DJI Mini 3","35,404.00",,153,Active
45,2023-533,2023-08-01,17,1,"Studio Lighting Kit, 2pcs, 50*70 single soft box, 2pcs x 1.9M light stand; 1 pc 2x3M","6,000.00",,153,Active
46,2023-531,2023-09-12,30,1,"Printer, Brother DCP-L2550DW","14,400.00",,153,Active
47,2023-637,2023-10-20,17,1,"Office Puncher, Carl Brand","3,350.00",,153,Active
48,"2023-635,2023-636",2023-10-26,17,2,"Heavy Duty Plastic Storage Box, 95L with wheels and lid","1,250.00",,153,Active
49,"2023-745,2023-746",2023-11-14,17,2,"Audio Cable, Remax 3.5Aux",250,,153,Active
50,2023-672,2023-11-21,30,1,"Portable Wireless Microphone, with 2 microphones, with remote system, JBL","8,200.00",,153,Active
51,2023-765,2023-11-28,30,1,"Portable Speaker, JBL Party Box 310","33,000.00",,153,Active
52,"2023-666,2023-667,2023-668,2023-669,2023-670,2023-671",2023-11-22,17,6,"Heavy Duty Plastic Storage Box, 50L with wheels and lid",795,,153,Active
53,"2023-806,2023-807",2023-11-14,17,2,"SDXC Memory Card for Sony Handycam 4K, 128GB","1,100.00",,153,Active
54,2023-795,2023-08-23,17,1,Badminton 23,475,,153,Active
55,2023-796,2023-08-23,17,1,Dart Board,"2,550.00",,153,Active
56,2023-867(1),2023-12-06,30,1,"Portable Projector, Viewsonic M1 Mini Plus","14,800.00",,153,Active
57,2023-805,2023-11-03,17,1,"Chromakey, Backdrop, color green with stand","3,250.00",,153,Active
58,2023-868,2023-12-06,30,1,"Portable Speaker, JBL Party Box on the Go","22,500.00",,153,Active
59,"2023-569,2023-570, 2023-873,2023-874,2023-875",2023-10-09,17,5,Heavy Duty Shovel,395,,153,Active
60,2023-00-10605030-0008-CMU,2023-08-01,17,1,"Video Camcorder, Sony 4K Handycam, w/ SD cards and Camra Bag","53,450.00",,153,Active
61,2023-867(2),2023-12-06,30,1,"Portable Projector, Viewsonic M1 Mini Plus","14,800.00",,153,Active
62,2023-774,2023-11-24,17,1,"Wireless Wi-Fi Receiver, Anycat M2 Plus","1,695.00",,153,Active
